"@xml:id"	"Map"	"Election / Signing Date"	"Election Type"	"Parliament"	"Province / Treaty #"	"Riding / Place of Negotiation "	"Place of Signing"	"Last Name"	"First Name"	"Middle Name (s)"	"Occupation"	"Party"	"Votes"	"Votes (%)"	"Elected"	"Treaty Signatories"	"Latitude / Longitude"	"Comments"
"BATT"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BATTLE RIVER"		"SPENCER"	"Henry"	"Elvins"	"farmer"	"Co-operative Commonwealth Federation"	2604	19.99	0		"53.15335, -110.87402"	
"BATT"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BATTLE RIVER"		"SAVILLE"	"Francis"	"Clifford"	"farmer"	"Liberal"	1722	13.22	0		"53.15335, -110.87402"	
"BATT"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BATTLE RIVER"		"BENNETT"	"George"		"farmer"	"Progressive Conservative"	1661	12.75	0		"53.15335, -110.87402"	
"BATT"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BATTLE RIVER"		"TAYLOR"	"Ewart"	"Pearse"	"farmer"	"Labour Progressive Party"	790	6.06	0		"53.15335, -110.87402"	
"BOWR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BOW RIVER"		"JOHNSTON"	"Charles"	"Edward"	"teacher"	"Social Credit Party of Canada"	6569	38.39	1		"51.31007, -113.00261"	
"BOWR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BOW RIVER"		"MCKINNON"	"John"	"Angus"	"farmer"	"Progressive Conservative"	3917	22.89	0		"51.31007, -113.00261"	
"BOWR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BOW RIVER"		"COLDWELL"	"John"	"Herbert"	"agent"	"Co-operative Commonwealth Federation"	3386	19.79	0		"51.31007, -113.00261"	
"BOWR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BOW RIVER"		"SOUTHERN"	"William"	"George"	"railway clerk"	"Liberal"	2091	12.22	0		"51.31007, -113.00261"	
"BOWR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BOW RIVER"		"BROWN"	"John"	"Blair"	"miner"	"Labour Progressive Party"	1149	6.71	0		"51.31007, -113.00261"	
"ECAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY EAST"		"HARKNESS"	"Douglas"	"Scott"	"teacher"	"Progressive Conservative"	7799	31.52	1		"50.91341, -114.5874"	
"ECAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY EAST"		"WILLMOTT"	"Clifford"	"Menzies"	"railway conductor"	"Social Credit Party of Canada"	5854	23.66	0		"50.91341, -114.5874"	
"ECAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY EAST"		"MORRISON"	"Peter"	"Newton Russell"	"teacher"	"Co-operative Commonwealth Federation"	5646	22.82	0		"50.91341, -114.5874"	
"ECAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY EAST"		"ROSS"	"George"	"Henry"	"barrister"	"Liberal"	4771	19.28	0		"50.91341, -114.5874"	
"ECAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY EAST"		"EDWARDS"	"Lionel"	"Frank"	"accountant"	"Labour Progressive Party"	672	2.72	0		"50.91341, -114.5874"	
"WCAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY WEST"		"SMITH"	"Arthur"	"Leroy"	"barrister"	"Progressive Conservative"	8872	38.44	1		"51.29627, -114.71374"	
"WCAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY WEST"		"MATTHEWS"	"Charles"	"Curtice"	"rancher"	"Liberal"	5011	21.71	0		"51.29627, -114.71374"	
"WCAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY WEST"		"JUKES"	"Andrew"	"Henry"	"farmer"	"Social Credit Party of Canada"	4766	20.65	0		"51.29627, -114.71374"	
"WCAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY WEST"		"TORY"	"Ken"	"Simpson"	"active service"	"Co-operative Commonwealth Federation"	3641	15.77	0		"51.29627, -114.71374"	
"WCAL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CALGARY WEST"		"MACKENZIE"	"Duncan"	"Archibald"	"physician"	"Labour Progressive Party"	791	3.43	0		"51.29627, -114.71374"	
"CAMR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CAMROSE"		"MARSHALL"	"James"	"Alexander"	"secretary"	"Social Credit Party of Canada"	7194	46.06	1		"53.028, -112.83508"	
"CAMR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CAMROSE"		"RONNING"	"Chester"	"Alvin"	"teacher"	"Co-operative Commonwealth Federation"	4045	25.9	0		"53.028, -112.83508"	
"CAMR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CAMROSE"		"FARNALLS"	"Paul"	"LaVega"	"farmer"	"Liberal"	2501	16.01	0		"53.028, -112.83508"	
"CAMR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"CAMROSE"		"BOWES"	"Russell"	"Joseph"	"farmer"	"Progressive Conservative"	1880	12.04	0		"53.028, -112.83508"	
"EEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON EAST"		"ASHBY"	"Patrick"	"H."	"farmer"	"Social Credit Party of Canada"	8214	33.26	1		"53.49785, -113.49426"	
"EEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON EAST"		"AINLAY"	"Harry"	"D."	"teacher"	"Co-operative Commonwealth Federation"	5833	23.62	0		"53.49785, -113.49426"	
"EEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON EAST"		"CASSELMAN"	"Cora"	"T."	"widow"	"Liberal"	5313	21.51	0		"53.49785, -113.49426"	
"EEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON EAST"		"JAMIESON"	"Henry"	"B."	"active service"	"Progressive Conservative"	4115	16.66	0		"53.49785, -113.49426"	
"EEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON EAST"		"LAKEMAN"	"Jan"		"carpenter"	"Labour Progressive Party"	1223	4.95	0		"53.49785, -113.49426"	
"WEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON WEST"		"MACKINNON"	"James"	"A."	"manager"	"Liberal"	8562	33.23	1		"53.6121, -113.49426"	
"WEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON WEST"		"MASON"	"Ellwood"	"Miles"	"active service"	"Social Credit Party of Canada"	6565	25.48	0		"53.6121, -113.49426"	
"WEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON WEST"		"BURROWS"	"Arthur"	"Lewis"	"agent"	"Progressive Conservative"	6002	23.3	0		"53.6121, -113.49426"	
"WEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON WEST"		"CRAWFORD"	"Mary"	"R."	"teacher"	"Co-operative Commonwealth Federation"	4112	15.96	0		"53.6121, -113.49426"	
"WEDM"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"EDMONTON WEST"		"HUNTER"	"Mary"		"doctor"	"Labour Progressive Party"	524	2.03	0		"53.6121, -113.49426"	
"JASP"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"JASPER-EDSON"		"KUHL"	"Walter"	"Frederick"	"teacher"	"Social Credit Party of Canada"	7313	37.34	1		"53.58924, -116.45507"	
"JASP"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"JASPER-EDSON"		"PETERSON"	"Nellie"		"housewife"	"Co-operative Commonwealth Federation"	4829	24.66	0		"53.58924, -116.45507"	
"JASP"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"JASPER-EDSON"		"WELBOURN"	"John"	"William"	"farmer"	"Liberal"	4663	23.81	0		"53.58924, -116.45507"	
"JASP"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"JASPER-EDSON"		"BAMBER"	"Sydney"		"farmer"	"Progressive Conservative"	1902	9.71	0		"53.58924, -116.45507"	
"JASP"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"JASPER-EDSON"		"SWANKEY"	"Ben"		"active service"	"Labour Progressive Party"	876	4.47	0		"53.58924, -116.45507"	
"LETH"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"LETHBRIDGE"		"BLACKMORE"	"John"	"Horne"	"teacher"	"Social Credit Party of Canada"	7250	43.52	1		"49.49322, -112.36273"	
"LETH"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"LETHBRIDGE"		"TURCOTTE"	"Louis"	"Sherman"	"barrister"	"Liberal"	3820	22.93	0		"49.49322, -112.36273"	
"LETH"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"LETHBRIDGE"		"BAKER"	"Philip"		"farmer"	"Progressive Conservative"	2985	17.92	0		"49.49322, -112.36273"	
"LETH"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"LETHBRIDGE"		"SCOTT"	"William"	"Wesley"	"farmer"	"Co-operative Commonwealth Federation"	2165	13	0		"49.49322, -112.36273"	
"LETH"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"LETHBRIDGE"		"CHILDRESS"	"William"	"Henry"	"farmer"	"Labour Progressive Party"	439	2.64	0		"49.49322, -112.36273"	
"MACL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MACLEOD"		"HANSELL"	"Ernest"	"George"	"minister"	"Social Credit Party of Canada"	6342	37.16	1		"50.64946, -113.45581"	
"MACL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MACLEOD"		"WYATT"	"Stanley"		"rancher"	"Progressive Conservative"	3924	22.99	0		"50.64946, -113.45581"	
"MACL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MACLEOD"		"LEWIS"	"Alfred"	"Gladstone"	"farmer"	"Liberal"	2620	15.35	0		"50.64946, -113.45581"	
"MACL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MACLEOD"		"WOBICK"	"Otto"	"Edward"	"farmer"	"Co-operative Commonwealth Federation"	2569	15.05	0		"50.64946, -113.45581"	
"MACL"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MACLEOD"		"ARLAND"	"William"	"Austin"	"miner"	"Labour Progressive Party"	1613	9.45	0		"50.64946, -113.45581"	
"MEDI"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MEDICINE HAT"		"WYLIE"	"William"	"Duncan"	"civil servant"	"Social Credit Party of Canada"	6752	41.34	1		"50.04302, -110.67626"	
"MEDI"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MEDICINE HAT"		"BLACK"	"Robert"	"Clark"	"merchant"	"Liberal"	4631	28.36	0		"50.04302, -110.67626"	
"MEDI"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MEDICINE HAT"		"ROGERS"	"Philip"		"farmer"	"Progressive Conservative"	2647	16.21	0		"50.04302, -110.67626"	
"MEDI"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"MEDICINE HAT"		"SMITH"	"Earl"	"Walter"	"railway conductor"	"Co-operative Commonwealth Federation"	2301	14.09	0		"50.04302, -110.67626"	
"PEAC"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"PEACE RIVER"		"LOW"	"Solon"	"Earl"	"farmer"	"Social Credit Party of Canada"	7319	41.06	1		"56.24334, -117.31201"	
"PEAC"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"PEACE RIVER"		"SISSONS"	"John"	"Howard"	"barrister"	"Liberal"	4109	23.05	0		"56.24334, -117.31201"	
"PEAC"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"PEACE RIVER"		"MACKLIN"	"Irvin"	"Victor"	"farmer"	"Co-operative Commonwealth Federation"	3666	20.57	0		"56.24334, -117.31201"	
"PEAC"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"PEACE RIVER"		"BESSENT"	"Herbert"	"Gordon"	"salesman"	"Progressive Conservative"	2732	15.33	0		"56.24334, -117.31201"	
"REDD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"RED DEER"		"SHAW"	"Frederick"	"Davis"	"teacher"	"Social Credit Party of Canada"	8653	46.48	1		"52.26144, -113.79089"	
"REDD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"RED DEER"		"TAGGART"	"Harry"	"Lloyd"	"farmer"	"Progressive Conservative"	3636	19.53	0		"52.26144, -113.79089"	
"REDD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"RED DEER"		"MACLELLAN"	"A.E."		"railway foreman"	"Co-operative Commonwealth Federation"	2984	16.03	0		"52.26144, -113.79089"	
"REDD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"RED DEER"		"DAVIDSON"	"Claude"	"J."	"agent"	"Liberal"	2666	14.32	0		"52.26144, -113.79089"	
"REDD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"RED DEER"		"LUND"	"William"		"farmer"	"Labour Progressive Party"	677	3.64	0		"52.26144, -113.79089"	
"VEGR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"VEGREVILLE"		"HLYNKA"	"Anthony"		"newspaperman"	"Social Credit Party of Canada"	7146	42.3	1		"53.50765, -112.06054"	
"VEGR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"VEGREVILLE"		"ARCHER"	"Albert"	"Ernest"	"surgeon"	"Liberal"	4806	28.45	0		"53.50765, -112.06054"	
"VEGR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"VEGREVILLE"		"HALINA"	"William"		"manager"	"Labour Progressive Party"	3272	19.37	0		"53.50765, -112.06054"	
"VEGR"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"VEGREVILLE"		"TOMYN"	"Michael"		"teacher"	"Co-operative Commonwealth Federation"	1668	9.87	0		"53.50765, -112.06054"	
"WETA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"WETASKIWIN"		"JAQUES"	"Norman"		"retired farmer"	"Social Credit Party of Canada"	7255	39.8	1		"52.97097, -113.38165"	
"WETA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"WETASKIWIN"		"STEVENS"	"William"	"Albert"	"farmer"	"Co-operative Commonwealth Federation"	3969	21.77	0		"52.97097, -113.38165"	
"WETA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"WETASKIWIN"		"HAARSTAD"	"Alfred"	"Berger"	"farmer"	"Progressive Conservative"	3419	18.76	0		"52.97097, -113.38165"	
"WETA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"WETASKIWIN"		"HARRISON"	"Robert"	"Henry Charles"	"barrister"	"Liberal"	3040	16.68	0		"52.97097, -113.38165"	
"WETA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"WETASKIWIN"		"LUNDGREN"	"Henry"		"farmer"	"Labour Progressive Party"	546	3	0		"52.97097, -113.38165"	
"VICT"	"use 1867 folder / map"	"11/24/1871"	"B/P"	1	"British Columbia"	"VICTORIA DISTRICT"		"DE COSMOS"	"Amor"		"editor"	"Liberal"	"accl."		1		"48.51431, -123.41731"	
"VICT"	"use 1867 folder / map"	"11/24/1871"	"B/P"	1	"British Columbia"	"VICTORIA DISTRICT"		"NATHAN"	"Henry Jr."		"businessman"	"Liberal"	"accl."		1		"48.51431, -123.41731"	
"NEWW"	"use 1867 folder / map"	"12/13/1871"	"B/P"	1	"British Columbia"	"NEW WESTMINSTER DISTRICT"		"NELSON"	"Hugh"		"lumber merchant"	"Liberal-Conservative"	125	83.89	1		"49.7879, -122.66085"	
"NEWW"	"use 1867 folder / map"	"12/13/1871"	"B/P"	1	"British Columbia"	"NEW WESTMINSTER DISTRICT"		"SCOTT"				"Unknown"	24	16.11	0		"49.7879, -122.66085"	
"VANC"	"use 1867 folder / map"	"12/15/1871"	"B/P"	1	"British Columbia"	"VANCOUVER ISLAND"		"WALLACE"	"Robert"		"commission merchant"	"Conservative"	137	57.32	1		"49.32512, -125.22216"	
"VANC"	"use 1867 folder / map"	"12/15/1871"	"B/P"	1	"British Columbia"	"VANCOUVER ISLAND"		"JESSOP"	"John"			"Unknown"	102	42.68	0		"49.32512, -125.22216"	
"CARI"	"use 1867 folder / map"	"12/19/1871"	"B/P"	1	"British Columbia"	"CARIBOO DISTRICT"		"THOMPSON"	"Joshua"	"Spencer"	"journalist"	"Liberal-Conservative"	"accl."		1		"52.85586, -122.24487"	
"YALE"	"use 1867 folder / map"	"12/19/1871"	"B/P"	1	"British Columbia"	"YALE DISTRICT"		"HOUGHTON"	"Charles"	"Frederick"	"farmer"	"Liberal"	"accl."		1		"50.10597, -119.6411"	
"LILL"	"use 1867 folder / map"	"12/19/1871"	"B/P"	1	"British Columbia"	"Lillooet District"		"Stamp"	"Edward"								"50.68177, -121.93672"	
"CARI"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"CARIBOO"		"THOMPSON"	"Joshua"	"Spencer"	"journalist"	"Liberal-Conservative"	"accl."		1		"52.85586, -122.24487"	
"NEWW"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"NEW WESTMINSTER"		"NELSON"	"Hugh"		"lumber merchant"	"Liberal-Conservative"	"accl."		1		"49.7879, -122.66085"	
"VANC"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"VANCOUVER"		"HINCKS"	"Francis"		"editor"	"Liberal-Conservative"	"accl."		1		"49.32512, -125.22216"	
"VICT"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"VICTORIA"		"NATHAN"	"Henry"	"Jr."	"businessman"	"Liberal"	402	44.97	1		"48.42578, -123.36822"	
"VICT"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"VICTORIA"		"DE COSMOS"	"Amor"		"editor"	"Liberal"	398	44.52	1		"48.42578, -123.36822"	
"VICT"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"VICTORIA"		"BEAVEN"	"R."			"Unknown"	94	10.51	0		"48.42578, -123.36822"	
"YALE"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"YALE"		"DEWDNEY"	"Edgar"		"civil engineer"	"Conservative"	43	69.35	1		"50.10597, -119.6411"	
"YALE"	"use 1872 / 1874 folder / map"	"7/20/1872"	"Gen"	2	"British Columbia"	"YALE"		"SMITH"	"Robt."			"Unknown"	19	30.65	0		"50.10597, -119.6411"	
"COMO"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"COMOX-ATLIN"		"SLOAN"	"W."		"businessman"	"Liberal"	"accl."		1		"51.5905, -126.76076"	
"KOOT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"KOOTENAY"		"GALLIHER"	"William"	"A."	"lawyer"	"Liberal"	2551	51.46	1		"50.25337, -116.43303"	
"KOOT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"KOOTENAY"		"MACKINTOSH"	"Chas.H."			"Conservative"	1784	35.99	0		"50.25337, -116.43303"	
"KOOT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"KOOTENAY"		"BAKER"	"James"	"A."		"Unknown"	622	12.55	0		"50.25337, -116.43303"	
"NANA"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"NANAIMO"		"SMITH"	"Ralph"		"miner"	"Liberal"	1392	43.31	1		"49.13859, -123.95324"	
"NANA"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"NANAIMO"		"WOLLEY"				"Conservative"	1105	34.38	0		"49.13859, -123.95324"	
"NANA"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"NANAIMO"		"FENTON"				"Socialist"	717	22.31	0		"49.13859, -123.95324"	
"NEWW"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"NEW WESTMINSTER"		"KENNEDY"	"James"	"Buckham"	"lumberman"	"Liberal"	1866	51.43	1		"49.7879, -122.66085"	
"NEWW"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"NEW WESTMINSTER"		"TAYLOR"	"James"	"Davis"	"reporter"	"Conservative"	1762	48.57	0		"49.7879, -122.66085"	
"VANC"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VANCOUVER CITY"		"MACPHERSON"	"R.G."		"druggist"	"Liberal"	2938	50.58	1		"49.27967, -123.11965"	
"VANC"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VANCOUVER CITY"		"ELLIS"	"R.B."			"Conservative"	2080	35.81	0		"49.27967, -123.11965"	
"VANC"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VANCOUVER CITY"		"MORTIMER"	"J.T."			"Socialist"	741	12.76	0		"49.27967, -123.11965"	
"VANC"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VANCOUVER CITY"		"MCGEER"	"J."			"Unknown"	50	0.86	0		"49.27967, -123.11965"	
"VICT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VICTORIA CITY"		"RILEY"	"Geo."		"merchant"	"Liberal"	1692	52.55	1		"48.42578, -123.36822"	
"VICT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VICTORIA CITY"		"PRIOR"	"Edward"	"G."	"mining engineer"	"Conservative"	1192	37.02	0		"48.42578, -123.36822"	
"VICT"	"Use 1905 folder / map"	"11/3/1904"	"Gen"	10	"British Columbia"	"VICTORIA CITY"		"WATTERS"	"James"	"C."		"Socialist"	336	10.43	0		"48.42578, -123.36822"	
